Point,Time,Duration,Speed(mph),Distance(mile),Altitude(feet),Latitude(WGS84),Longitude(WGS84),Latitude(BD09),Longitude(BD09)
1,2019-01-30 16:40:30,00:00:00,0.0,0.0,606.8,41.00916963,-76.44678386,41.01494516038494,-76.44038159972702
2,2019-01-30 16:40:42,00:00:12,1.9237616,0.009822299,551.04,41.00930644,-76.44683573,41.01508218493205,-76.44043334845762
3,2019-01-30 16:40:48,00:00:18,4.0712166,0.02079001,567.44,41.00945795,-76.4468982,41.01523395625677,-76.44049567278093
4,2019-01-30 16:40:57,00:00:27,8.522711,0.03452142,570.72,41.00964784,-76.44686402,41.015423699413844,-76.44046156685593
5,2019-01-30 16:41:01,00:00:31,13.175529,0.045385398,574.0,41.00975007,-76.44671029,41.01552528670727,-76.44030818023661
6,2019-01-30 16:41:04,00:00:34,17.224377,0.058843356,580.56,41.00984196,-76.44648337,41.01561625422605,-76.44008175453524
7,2019-01-30 16:41:06,00:00:36,20.7811,0.07027191,590.4,41.00992627,-76.44629536,41.01569982319401,-76.43989414197809
8,2019-01-30 16:41:08,00:00:38,23.554893,0.08321183,593.68,41.0100245,-76.44608449,41.015797247307475,-76.43968370474795
9,2019-01-30 16:41:10,00:00:40,26.351057,0.097673304,596.96,41.01014718,-76.44586057,41.01591910095696,-76.43946022939592
10,2019-01-30 16:41:11,00:00:41,28.230082,0.11327108,600.24,41.01028944,-76.44562868,41.01606053739586,-76.43922878389836
11,2019-01-30 16:41:14,00:00:44,30.153841,0.12951867,600.24,41.01045895,-76.44541347,41.01622931291047,-76.43901397268753
12,2019-01-30 16:41:16,00:00:46,31.2052,0.14676258,603.52,41.01065301,-76.44520565,41.016422691386744,-76.43880652589542
13,2019-01-30 16:41:18,00:00:48,31.115723,0.1641536,603.52,41.01084973,-76.44499768,41.01661875658667,-76.4385989172625
14,2019-01-30 16:41:20,00:00:50,29.01301,0.1808008,610.08,41.01104419,-76.4448092,41.01681264714003,-76.43841075506651
15,2019-01-30 16:41:22,00:00:52,27.022139,0.19623613,610.08,41.01122064,-76.44462774,41.01698856992693,-76.43822959112656
16,2019-01-30 16:41:23,00:00:53,24.718098,0.21017532,606.8,41.01138572,-76.44447405,41.017153220301466,-76.43807614570949
17,2019-01-30 16:41:26,00:00:56,20.467928,0.22244664,610.08,41.01153544,-76.44434766,41.01730259889301,-76.43794995309841
18,2019-01-30 16:41:29,00:00:59,11.453092,0.23450945,610.08,41.01168286,-76.44422373,41.017449694220296,-76.43782621264975
19,2019-01-30 16:41:58,00:01:28,9.618808,0.24610789,619.92,41.01181051,-76.44412862,41.01757710249542,-76.43773124671002
20,2019-01-30 16:42:01,00:01:31,16.12828,0.258815,619.92,41.01196923,-76.44400551,41.017735518151696,-76.43760831928105
21,2019-01-30 16:42:03,00:01:33,19.819218,0.26960218,623.2,41.01210726,-76.44390886,41.01787331693348,-76.43751181135848
22,2019-01-30 16:42:05,00:01:35,24.561512,0.28907654,626.48,41.01236178,-76.44374793,41.01812746728441,-76.43735111598407
23,2019-01-30 16:42:08,00:01:38,26.6866,0.30388904,629.76,41.01255532,-76.44362548,41.0183207378294,-76.43722884083641
24,2019-01-30 16:42:10,00:01:40,28.028757,0.31968153,633.04,41.01276072,-76.44349247,41.01852585637442,-76.4370960165163
25,2019-01-30 16:42:12,00:01:42,29.28144,0.33593234,636.32,41.01296505,-76.44333791,41.01872987178119,-76.43694166240948
26,2019-01-30 16:42:14,00:01:44,30.824923,0.35278928,642.88,41.01316773,-76.44315793,41.01893220254648,-76.43676190916906
27,2019-01-30 16:42:16,00:01:46,31.361788,0.37044618,646.16,41.01337975,-76.44296884,41.019143878327576,-76.43657304775496
28,2019-01-30 16:42:17,00:01:47,32.86053,0.3797674,649.44,41.01349558,-76.44287709,41.01925955088344,-76.43648140735941
29,2019-01-30 16:42:18,00:01:48,33.486874,0.38912874,652.72,41.01361137,-76.44278377,41.019375186276335,-76.43638819625683
30,2019-01-30 16:42:20,00:01:50,34.359276,0.40796354,652.72,41.01383884,-76.44258461,41.01960234364127,-76.43618925737843
31,2019-01-30 16:42:21,00:01:51,34.87377,0.41789478,652.72,41.01395563,-76.44247358,41.01971896962691,-76.43607834402711
32,2019-01-30 16:42:22,00:01:52,34.829033,0.42753375,656.0,41.01406196,-76.44235399,41.01982512991733,-76.43595887191817
33,2019-01-30 16:42:23,00:01:53,34.5606,0.43711635,656.0,41.01416174,-76.44222648,41.01992473765965,-76.43583148017385
34,2019-01-30 16:42:24,00:01:54,34.73955,0.44687974,659.27997,41.0142522,-76.44208285,41.02001501368685,-76.43568797287048
35,2019-01-30 16:42:25,00:01:55,35.075092,0.45664164,659.27997,41.01433686,-76.44193322,41.02009949489465,-76.43553846172446
36,2019-01-30 16:42:26,00:01:56,35.56722,0.46653944,662.56,41.01441939,-76.44177834,41.0201818541921,-76.43538369609476
37,2019-01-30 16:42:27,00:01:57,35.768543,0.47660547,662.56,41.01450094,-76.44161866,41.02026324369271,-76.43522412513678
38,2019-01-30 16:42:28,00:01:58,36.663315,0.48684233,662.56,41.01458421,-76.44145657,41.02034636733716,-76.43506213748793
39,2019-01-30 16:42:29,00:01:59,36.551468,0.49713477,662.56,41.01466981,-76.44129531,41.02043183857845,-76.43490097149318
40,2019-01-30 16:42:30,00:02:00,37.02122,0.50743896,662.56,41.01475096,-76.44112982,41.020512872778184,-76.43473556767941
41,2019-01-30 16:42:31,00:02:01,37.916,0.52829224,665.83997,41.01492538,-76.44080401,41.02068711736343,-76.43440990479502
42,2019-01-30 16:42:33,00:02:03,37.916,0.5386643,669.12,41.01501113,-76.44064103,41.02077280472665,-76.43424698513404
43,2019-01-30 16:42:34,00:02:04,38.273907,0.5492332,672.4,41.01509759,-76.44047412,41.02085921789246,-76.43408012766724
44,2019-01-30 16:42:35,00:02:05,38.18443,0.55961746,675.68,41.01518461,-76.44031203,41.02094620975335,-76.43391808079072
45,2019-01-30 16:42:36,00:02:06,38.47523,0.57027817,678.96,41.01527444,-76.44014609,41.021036028350835,-76.43375217631302
46,2019-01-30 16:42:38,00:02:08,38.430492,0.59144115,685.52,41.01545219,-76.43981613,41.021213807589056,-76.43342226023375
47,2019-01-30 16:42:39,00:02:09,38.676556,0.61303,692.08,41.01564329,-76.43948909,41.02140500702775,-76.43309523302331
48,2019-01-30 16:42:41,00:02:11,38.85551,0.6237411,695.36,41.01574468,-76.43933392,41.021506469608056,-76.43294006002618
49,2019-01-30 16:42:42,00:02:12,39.21342,0.6347699,695.36,41.01585437,-76.43918045,41.021616247927156,-76.43278658219124
50,2019-01-30 16:42:43,00:02:13,39.83976,0.6457054,695.36,41.01595604,-76.43901996,41.02171802444779,-76.4326260723641
51,2019-01-30 16:42:44,00:02:14,40.331882,0.65694994,695.36,41.01606525,-76.43886029,41.0218273579688,-76.43246637684427
52,2019-01-30 16:42:45,00:02:15,40.712166,0.66829133,698.64,41.01617322,-76.43869669,41.021935470812004,-76.43230274119546
53,2019-01-30 16:42:46,00:02:16,40.555576,0.6795965,698.64,41.01628039,-76.43853309,41.02204280060098,-76.43213909683148
54,2019-01-30 16:42:47,00:02:17,40.42136,0.69071174,698.64,41.01638658,-76.43837318,41.02214916350471,-76.43197913571477
55,2019-01-30 16:42:48,00:02:18,39.23579,0.7015703,701.92,41.0164934,-76.43822063,41.02225616454607,-76.43182653113327
56,2019-01-30 16:42:49,00:02:19,37.692307,0.71199405,701.92,41.01660168,-76.43808157,41.022364624338636,-76.43168741846105
57,2019-01-30 16:42:50,00:02:20,35.768543,0.73197854,705.2,41.01682582,-76.43783944,41.0225891130797,-76.43144519410586
58,2019-01-30 16:42:51,00:02:21,34.963245,0.7417625,705.2,41.01695056,-76.43775045,41.02271399820221,-76.43135617906229
59,2019-01-30 16:42:53,00:02:23,34.672447,0.75155306,705.2,41.01707884,-76.43767042,41.02284241613905,-76.43127613029863
